1,Nicobar,1
2,North and Middle Andaman,1
3,South Andaman,1
4,Anantapur,2
5,Chittoor,2
6,Cuddapah,2
7,East Godavari,2
8,Guntur,2
9,Krishna,2
10,Kurnool,2
11,Nellore,2
12,Prakasam,2
13,Srikakulam,2
14,Visakhapatnam,2
15,Vizianagaram,2
16,West Godavari,2
17,Anjaw,3
18,Changlang,3
19,Dibang Valley,3
20,East Kameng,3
21,East Siang,3
22,Kurung Kumey,3
23,Lohit,3
24,Longding,3
25,Lower Dibang Valley,3
26,Lower Subansiri,3
27,Papum Pare,3
28,Tawang,3
29,Tirap,3
30,Upper Siang,3
31,Upper Subansiri,3
32,West Kameng,3
33,West Siang,3
34,Baksa,4
35,Barpeta,4
36,Bongaigaon,4
37,Cachar,4
38,Chirang,4
39,Darrang,4
40,Dhemaji,4
41,Dhubri,4
42,Dibrugarh,4
43,Dima Hasao,4
44,Goalpara,4
45,Golaghat,4
46,Hailakandi,4
47,Jorhat,4
48,Kamrup Metropolitan,4
49,Kamrup,4
50,Karbi Anglong,4
51,Karimganj,4
52,Kokrajhar,4
53,Lakhimpur,4
54,Morigaon,4
55,Nagaon,4
56,Nalbari,4
57,Sivasagar,4
58,Sonitpur,4
59,Tinsukia,4
60,Udalguri,4
61,Araria,5
62,Arwal,5
63,Aurangabad,5
64,Banka,5
65,Begusarai,5
66,Bhagalpur,5
67,Bhojpur,5
68,Buxar,5
69,Darbhanga,5
70,East Champaran (Motihari),5
71,Gaya,5
72,Gopalganj,5
73,Jamui,5
74,Jehanabad,5
75,Kaimur (Bhabua),5
76,Katihar,5
77,Khagaria,5
78,Kishanganj,5
79,Lakhisarai,5
80,Madhepura,5
81,Madhubani,5
82,Munger (Monghyr),5
83,Muzaffarpur,5
84,Nalanda,5
85,Nawada,5
86,Patna,5
87,Purnia (Purnea),5
88,Rohtas,5
89,Saharsa,5
90,Samastipur,5
91,Saran,5
92,Sheikhpura,5
93,Sheohar,5
94,Sitamarhi,5
95,Siwan,5
96,Supaul,5
97,Vaishali,5
98,West Champaran,5
99,Chandigarh,6
100,Balod,7
101,Baloda Bazar,7
102,Balrampur,7
103,Bastar,7
104,Bemetara,7
105,Bijapur,7
106,Bilaspur,7
107,Dantewada (South Bastar),7
108,Dhamtari,7
109,Durg,7
110,Gariaband,7
111,Janjgir-Champa,7
112,Jashpur,7
113,Kabirdham (Kawardha),7
114,Kanker (North Bastar),7
115,Kondagaon,7
116,Korba,7
117,Korea (Koriya),7
118,Mahasamund,7
119,Mungeli,7
120,Narayanpur,7
121,Raigarh,7
122,Raipur,7
123,Rajnandgaon,7
124,Sukma,7
125,Surajpur,7
126,Surguja,7
127,Dadra & Nagar Haveli,8
128,Daman,9
129,Diu,9
130,Central Delhi,10
131,East Delhi,10
132,New Delhi,10
133,North Delhi,10
134,North East Delhi,10
135,North West Delhi,10
136,South Delhi,10
137,South West Delhi,10
138,West Delhi,10
139,North Goa,11
140,South Goa,11
141,Ahmedabad,12
142,Amreli,12
143,Anand,12
144,Aravalli,12
145,Banaskantha (Palanpur),12
146,Bharuch,12
147,Bhavnagar,12
148,Botad,12
149,Chhota Udepur,12
150,Dahod,12
151,Dangs (Ahwa),12
152,Devbhoomi Dwarka,12
153,Gandhinagar,12
154,Gir Somnath,12
155,Jamnagar,12
156,Junagadh,12
157,Kachchh,12
158,Kheda (Nadiad),12
159,Mahisagar,12
160,Mehsana,12
161,Morbi,12
162,Narmada (Rajpipla),12
163,Navsari,12
164,Panchmahal (Godhra),12
165,Patan,12
166,Porbandar,12
167,Rajkot,12
168,Sabarkantha (Himmatnagar),12
169,Surat,12
170,Surendranagar,12
171,Tapi (Vyara),12
172,Vadodara,12
173,Valsad,12
174,Ambala,13
175,Bhiwani,13
176,Faridabad,13
177,Fatehabad,13
178,Gurgaon,13
179,Hisar,13
180,Jhajjar,13
181,Jind,13
182,Kaithal,13
183,Karnal,13
184,Kurukshetra,13
185,Mahendragarh,13
186,Mewat,13
187,Palwal,13
188,Panchkula,13
189,Panipat,13
190,Rewari,13
191,Rohtak,13
192,Sirsa,13
193,Sonipat,13
194,Yamunanagar,13
195,Bilaspur,14
196,Chamba,14
197,Hamirpur,14
198,Kangra,14
199,Kinnaur,14
200,Kullu,14
201,Lahaul & Spiti,14
202,Mandi,14
203,Shimla,14
204,Sirmaur (Sirmour),14
205,Solan,14
206,Una,14
207,Anantnag,15
208,Bandipora,15
209,Baramulla,15
210,Budgam,15
211,Doda,15
212,Ganderbal,15
213,Jammu,15
214,Kargil,15
215,Kathua,15
216,Kishtwar,15
217,Kulgam,15
218,Kupwara,15
219,Leh,15
220,Poonch,15
221,Pulwama,15
222,Rajouri,15
223,Ramban,15
224,Reasi,15
225,Samba,15
226,Shopian,15
227,Srinagar,15
228,Udhampur,15
229,Bokaro,16
230,Chatra,16
231,Deoghar,16
232,Dhanbad,16
233,Dumka,16
234,East Singhbhum,16
235,Garhwa,16
236,Giridih,16
237,Godda,16
238,Gumla,16
239,Hazaribag,16
240,Jamtara,16
241,Khunti,16
242,Koderma,16
243,Latehar,16
244,Lohardaga,16
245,Pakur,16
246,Palamu,16
247,Ramgarh,16
248,Ranchi,16
249,Sahibganj,16
250,Seraikela-Kharsawan,16
251,Simdega,16
252,West Singhbhum,16
253,Bagalkot,17
254,Bangalore Rural,17
255,Bangalore Urban,17
256,Belgaum,17
257,Bellary,17
258,Bidar,17
259,Bijapur,17
260,Chamarajanagar,17
261,Chickmagalur,17
262,Chikballapur,17
263,Chitradurga,17
264,Dakshina Kannada,17
265,Davangere,17
266,Dharwad,17
267,Gadag,17
268,Gulbarga,17
269,Hassan,17
270,Haveri,17
271,Kodagu,17
272,Kolar,17
273,Koppal,17
274,Mandya,17
275,Mysore,17
276,Raichur,17
277,Ramnagara,17
278,Shimoga,17
